id,reference,generated,rouge1,rouge2,rougeL
news-48419117,ঢাকার মালিবাগে পুলিশের একটি গাড়ির কাছে বিস্ফোরণের ঘটনার দায় স্বীকার করেছে কথিত ইসলামিক স্টেট বা আইএস।,ঢাকার মালিবাগে পুলিশের একটি গাড়ির কাছে বিস্ফোরণের ঘটনা ঘটেছে। এতে একজন নারী পুলিশ কর্মকর্তা ও একজন রিকশাচালক আহত হয়েছেন। ইসলামিক স্টেট গ্রুপ এই বিস্ফোরণের দায় স্বীকার করেছে।,55.81,43.9,46.51
news-51858495,"করোনাভাইরাসে আক্রান্ত দেশগুলো থেকে বাংলাদেশি যারা এপর্যন্ত দেশটিতে এসেছেন, তাদের বিশাল অংশই পর্যবেক্ষণের বাইরে রয়ে গেছে।","করোনাভাইরাস মোকাবেলায় বাংলাদেশে আসা প্রবাসীদের মধ্যে অনেকেই কোনো পরীক্ষা ছাড়াই দেশে প্রবেশ করছেন। গত কয়েক সপ্তাহে বিদেশ থেকে আসা বাংলাদেশিদের মধ্যে দেশের ২০টি জেলায় প্রায় দুইশো জনকে নিজ নিজ বাড়িতে বিশেষ ব্যবস্থায় হোম কোয়ারিন্টিনে রাখা হয়েছে। করোনা আক্রান্ত দেশগুলো থেকে দু'সপ্তাহের মধ্যে বাংলাদেশে আসা কয়েকজন বলেছেন, তারা দেশে আসার পর থেকে আত্নীয়স্বজনের সাথে থাকাসহ উন্মুক্ত পরিবেশেই রয়েছেন।",8.11,5.56,8.11
news-46606685,"হাকিমপুর, ঘোড়াঘাট, নবাবগঞ্জ , বিরামপুর-ছোট ছোট এই চারটি উপজেলা নিয়ে দিনাজপুর-৬ আসন।","হিলি স্থল বন্দর ঘিরে উন্নয়নের কথা অনেকেই বলেছেন। এখানে কোন কল-কারখানা নেই, আমদানি-রপ্তানিকে কেন্দ্র করে পরিকল্পনা করলে এখানে অনেক শিল্প-কারখানা গড়ে তোলা যেত। স্থানীয় বাসিন্দারা মনে করেন হিলি বন্দর ঘিরেই তাদের আয়-রোজগারের পথ হতে পারতো।",0.0,0.0,0.0
news-48848572,হংকং এ জুন মাস থেকেই শান্তিপূর্ণ বিক্ষোভ চলছে। এই বিক্ষোভের কারণে বিতর্কিত এক প্রত্যর্পণ বিল অনির্দিষ্টকালের জন্য স্থগিত করেছে সরকার। দেশটির সরকারের এই উদ্যোগ চীনের কাছে হংকং এর ভিন্নমতাবলম্বীদের সম্পর্কে ভিন্ন বার্তা পাঠাতে পারে।,"হংকং-এ জুন মাস থেকে চলমান বিক্ষোভে সোমবার কয়েকশ' তরুণ পার্লামেন্ট ভবনে ঢুকে পড়ে। বিক্ষোভকারীরা ভবনের কাচ ভেঙে অধিবেশন কক্ষে ঢুকে স্প্রে-পেইন্ট দিয়ে দেয়ালে নানা বার্তা লিখে। হংকং-এর প্রতীকের ওপর কালো রং ছিটিয়ে দেয় একজন বিক্ষোভকারী। আরেকজন পুরনো ব্রিটিশ ঔপনিবেশিক যুগের ইউনিয়ন জ্যাক-আঁকা পতাকা তুলে ধরে। হংকং-এর বিক্ষোভ এখনো পর্যন্ত শান্তিপূর্ণভাবে হচ্ছে। বিক্ষোভকারীদের দাবী আদায়ের সম্ভাবনা কতটা রয়েছে তা নিয়ে প্রশ্ন রয়েছে। ইতিহাসে দেখা যায়, শান্তিপূর্ণ বিক্ষোভের মাধ্যমেও অনেক সময় সরকারকে পদত্যাগ করতে বাধ্য করা হয়েছে। যেমন, ১৯৮৬ সালে ফিলিপাইনের ম্যানিলায় লক্ষ লক্ষ মানুষের শান্তিপূর্ণ বিক্ষোভে মার্কোস পদত্যাগ করেন। একইভাবে, ২০০৩ সালে জর্জিয়ায় রক্তপাতহীন বিপ্লবে শাসক এডুয়ার্ড সেভর্দনাদজে পদত্যাগ করেন। এ বছরের শুরুতে সুদান ও আলজেরিয়ায়ও শান্তিপূর্ণ বিক্ষোভে সরকারকে পদত্যাগ করতে বাধ্য করা হয়েছে।",13.16,5.33,7.89
news-43054225,"১৪ই ফেব্রুয়ারি ভ্যালেন্টাইন'স ডে হিসাবে সারা বিশ্বে পরিচিত হলেও, বাংলাদেশের ইতিহাসে বিশেষভাবে গুরুত্বপূর্ণ ১৯৮৩ সালের ১৪ই ফেব্রুয়ারি। অনেকে এই দিনটিকে পালন করেন 'স্বৈরাচার প্রতিরোধ দিবস' হিসাবে।","১৯৮৩ সালের ১৪ই ফেব্রুয়ারি ঢাকায় সামরিক শাসনের বিরুদ্ধে শুরু হয় ছাত্র আন্দোলন। তখন জেনারেল এরশাদের সামরিক সরকারের বিতর্কিত শিক্ষানীতির বিরুদ্ধে শিক্ষার্থীরা প্রতিরোধ গড়ে তোলে। এই আন্দোলনের ধারাবাহিকতায় ১৪ই ফেব্রুয়ারিতে স্মারকলিপি দিতে শিক্ষার্থীরা মিছিল করে সচিবালয়ের দিকে যাবার সময় পুলিশ গুলি চালায়। এতে জয়নাল ও দীপালি সাহা সহ নিহত হন অন্তত ১০জন। ছাত্রসমাজের দাবি ছিল একটি অবৈতনিক বৈষম্যহীন শিক্ষানীতি। কিন্তু শিক্ষামন্ত্রী ড. মজিদ খান যে নীতি ঘোষণা করেন, সেখানে বাণিজ্যিকীকরণ আর ধর্মীয় প্রতিফলন ঘটেছে বলে শিক্ষার্থীরা অভিযোগ করেন।",15.38,5.88,11.54
news-42887190,ফ্যাশন নাকি চক্রাকারে ঘুরে ফিরে আসে। লুঙ্গির ভাগ্যে কি সেটাই ঘটতে যাচ্ছে?,"স্প্যানিশ ফ্যাশন ব্রান্ড 'জারা' একটি পোশাক বাজারে ছেড়েছে যা দেখতে অনেকটা লুঙ্গির মতো, কিন্তু তারা এটাকে 'চেক মিনি স্কার্ট' বলছে। এই পোশাকটি নিয়ে টুইটারে বিতর্ক চলছে, অনেকে বলছে এটা আসলে লুঙ্গি ছাড়া আর কিছু নয়। জারা এই পোশাকটি বিক্রি করছে ৬৯ পাউন্ডে, যা অনেকের কাছে খুব বেশি মনে হচ্ছে। অনেকে প্রশ্ন তুলছেন যে পুরুষদের পোশাক লুঙ্গিকে এভাবে 'স্কার্ট' নামে বিক্রি করা কি সঠিক।",8.0,0.0,8.0
news-55960613,ফেসবুকের পর টুইটার এবং ইনস্টাগ্রামকে ব্লক করার নির্দেশ দিয়েছে মিয়ানমারের কর্তৃপক্ষ।,মিয়ানমারে সেনা অভ্যুত্থানের প্রতিবাদে বিশ্ববিদ্যালয়ের শিক্ষক ও শিক্ষার্থীরা বিক্ষোভ করছে। তারা গণতান্ত্রিকভাবে নির্বাচিত নেতাদের মুক্তি চাইছে। সেনা অভ্যুত্থানের পর থেকে দেশটিতে ফেসবুক ব্লক করা হয়েছে।,11.11,0.0,11.11
news-49833444,যুক্তরাষ্ট্র ডেমোক্র্যাট পার্টির সদস্যরা প্রেসিডেন্ট ডোনাল্ড ট্রাম্পকে অভিশংসনের জন্য আনুষ্ঠানিকভাবে তদন্ত শুরু করেছে।,মার্কিন প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের বিরুদ্ধে অভিশংসনের তদন্ত শুরু হয়েছে। ডেমোক্র্যাটরা ট্রাম্পের বিরুদ্ধে রাজনৈতিক প্রতিপক্ষকে ঘায়েল করার জন্য বিদেশি শক্তির সাহায্য নেয়ার অভিযোগ করেছে। ট্রাম্প ইউক্রেনের প্রেসিডেন্ট ভলোদিমির জেলেনস্কির উপর জো বাইডেনের বিরুদ্ধে তদন্তের চাপ দিয়েছেন বলে অভিযোগ করা হচ্ছে।,26.92,8.0,23.08
news-44639030,পোলিশ রেফারি স্জিমন মারচিনিয়াক শনিবারের জার্মানি ও সুইডেনের উত্তেজনাকর ম্যাচের শেষ বাঁশি বাজানোর পর সামাজিক মাধ্যমে মানুষের আনাগোনা দারুণভাবে বেড়ে যায়।,নেইমারের কান্না এবং ডাইভ নিয়ে সামাজিক মাধ্যমে অনেক সমালোচনা হচ্ছে। ব্রাজিলের খেলা দিনের পর দিন পরিণত হচ্ছে বলে মনে করা হচ্ছে। নেইমার তার স্বাভাবিক ফর্মে নেই বলেও অনেকে মনে করছে।,11.76,4.08,7.84
news-45859948,বিশ্ব মৃত্যুদণ্ড বিরোধী দিবসে মৃত্যুদণ্ডের চর্চা বন্ধ করার চেষ্টা করায় অনেক দেশের প্রশংসা করেছেন জাতিসংঘ মহাসচিব অ্যান্টনিও গুতেরেস।,জাতিসংঘ মহাসচিব বলেছেন বিশ্বের ১৭০টি দেশে হয়তো মৃত্যুদণ্ড বাতিল কিংবা স্থগিত আছে। মানবাধিকার সংস্থাগুলোর হিসেবে ২০১৭ সালে বিশ্বের ৫৩টি দেশে দু হাজার ৫৯১টি মৃত্যুদণ্ড কার্যকর করা হয়েছে। অ্যামনেস্টি ইন্টারন্যাশনাল বলছে ১৪২ দেশ এখন আর এর চর্চা করছেনা।,14.55,3.77,7.27
news-52080725,"করোনাভাইরাস প্রতিরোধে বিশ্ব গত বছরের ডিসেম্বর থেকে সচেতন হতে শুরু করলেও মনে হয় যেন অনন্তকাল পেরিয়ে গেছে। বিশ্বজুড়ে বিজ্ঞানীরা প্রচেষ্টা চালিয়ে যাওয়া সত্ত্বেও, আমরা এখনও অনেক কিছুই বুঝে উঠতে পারি না।","করোনাভাইরাস নিয়ে এখনও অনেক প্রশ্ন রয়ে গেছে। এই প্রশ্নগুলোর মধ্যে অন্যতম হল কতজন মানুষ সংক্রামিত হয়েছেন, এটি আসলেই কতটা মারাত্মক এবং করোনাভাইরাসের উপসর্গগুলো কী। করোনাভাইরাসে আক্রান্ত হওয়ার ঘটনা বিশ্বজুড়ে লাখ লাখ ঘটছে, তবে এটি সংক্রমণের মোট সংখ্যার একটি অংশ মাত্র। অ্যাসিম্পটোমেটিক কেসগুলো পুরো পরিসংখ্যানকে বিভ্রান্ত করে তুলছে। করোনাভাইরাসের প্রধান লক্ষণগুলোর মধ্যে রয়েছে জ্বর এবং শুকনো কাশি। এগুলো হল সেই লক্ষণ যেগুলোর প্রতি আপনাকে অবশ্যই খেয়াল রাখতে হবে। কিছু ক্ষেত্রে গলা ব্যথা, মাথা ব্যথা এবং ডায়রিয়ার মতো লক্ষণের কথাও জানা গেছে। এমন ধারনাও রয়েছে যে এই করোনাভাইরাস মানুষের গন্ধ নেয়ার অনুভূতি হ্রাস করতে পারে। তবে সর্বাধিক গুরুত্বপূর্ণ প্রশ্ন হল মৃদু ঠাণ্ডা জাতীয় লক্ষণ যেমন সর্দি, হাঁচি, এগুলো কি করোনাভাইরাসে আক্রান্ত রোগীদের মধ্যে দেখা যায়।",6.94,1.41,4.17
160111_bd_sanitation_open_defecation,বাংলাদেশের সরকার বলছে খোলা জায়গায় মলত্যাগ মুক্ত দেশ হিসেবে লক্ষ্য অর্জনে বাংলাদেশ প্রায় দ্বারপ্রান্তে পৌঁছে গেছে।,"বাংলাদেশ বাড়ি বাড়ি শৌচাগার নির্মাণে উন্নতি করেছে, যার ফলে খোলা জায়গায় মলত্যাগের অভ্যাস কমেছে। দেশটি প্রতিবেশী দেশগুলোর জন্য রোল মডেল হয়ে উঠেছে। তবে, টয়লেটের বর্জ্য নিষ্কাসন এখনও একটি উদ্বেগের বিষয়। বাংলাদেশে টয়লেটের বর্জ্য প্রায়ই অস্বাস্থ্যকরভাবে প্রকৃতিতে মিশে যায়।",11.11,3.85,7.41
160130_bangladesh_tree_man_desease,বাংলাদেশে এই প্রথম ‘বৃক্ষ মানব’ নামে পরিচিত বিরল এক রোগে আক্রান্ত একজন রোগীর সন্ধান পাওয়া গেছে।,"বাংলাদেশের এক যুবক বিরল এক রোগে আক্রান্ত হয়েছেন, যার নাম বৃক্ষ মানব রোগ। এই রোগে আক্রান্ত হয়ে তার দুই হাত এবং পায়ের কিছু অংশ গাছের শেকড়ের মতো রূপ নিয়েছে। তিনি গত ১০ বছর ধরে এই রোগে ভুগছেন এবং এখন তাকে ঢাকা মেডিকেল কলেজের বার্ন এন্ড প্লাস্টিক সার্জারি ইউনিটে চিকিৎসা দেওয়া হচ্ছে। ডাক্তাররা বলছেন যে তারা একটি মেডিকেল বোর্ড তৈরি করবেন এবং অস্ত্রোপচারের মাধ্যমে তার চিকিৎসা করা হবে।",16.87,9.88,9.64
150608_pg_bangladesh_india_transport,"বাংলাদেশ, ভারত, নেপাল ও ভূটানের মধ্যে সড়কপথে পণ্য ও যাত্রীবাহী যান চলাচল উন্মুক্ত করে দেবার লক্ষ্যে এক চুক্তির খসড়া আজ বাংলাদেশের মন্ত্রীসভায় অনুমোদিত হয়েছে।","ভারত, বাংলাদেশ, নেপাল এবং ভুটান চারটি দেশের মধ্যে যাত্রীবাহী ও পণ্যবাহী যানবাহন চলাচলের চুক্তি স্বাক্ষরিত হতে যাচ্ছে। এই চুক্তি স্বাক্ষরিত হবার পর এই চারটি দেশের মধ্যে তিন ধরণের যানবাহন চলাচল করতে পারবে। আশা করা হচ্ছে ২০১৬-র শুরুর দিকে এর বাস্তবায়ন হবে।",21.21,0.0,15.15
news-41386650,মাত্র চার বছর আগে জন্ম নিলেও জার্মান সংসদের ৯০টিরও বেশি আসন জেতা কট্টর ডানপন্থী দল এএফডি (অলটারনেটিভ ফর জার্মানি) বিশ্বাস করে জার্মান সমাজে ইসলামের কোনো জায়গা নেই।,"জার্মানির সাম্প্রতিক নির্বাচনে ইসলামবিরোধী এবং অভিবাসন বিরোধী দল অল্টারনেটিভ ফর জার্মানি (এএফডি) উল্লেখযোগ্য সাফল্য অর্জন করেছে। এএফডি দলটি জার্মানির সংসদে তৃতীয় বৃহত্তম দল হিসেবে আত্মপ্রকাশ করেছে, যা দ্বিতীয় বিশ্বযুদ্ধের পর থেকে কোনো নতুন দলের জন্য একটি অভূতপূর্ব ঘটনা। এএফডির নেতারা ইসলাম ও অভিবাসনকে তাদের রাজনৈতিক প্রচারণার কেন্দ্রবিন্দু করেছেন, জার্মান সমাজে ইসলামি সংস্কৃতির সহাবস্থানের অসম্ভবতা এবং মসজিদে বিদেশী অর্থ নিষিদ্ধ করার দাবি তোলা হয়েছে। এএফডির জনপ্রিয়তা বৃদ্ধি জার্মানির রাজনৈতিক দৃশ্যপটে একটি উল্লেখযোগ্য পরিবর্তনের ইঙ্গিত দেয়।",13.86,4.04,9.9
news-42215067,সৌদি আরবে গত কয়েক দশকে ধীর গতিতে সামান্য কিছু পরিবর্তন ঘটলেও দেশটি এখন নাটকীয় কিছু ঘটনা প্রবাহের ভেতর দিয়ে যাচ্ছে।,"সৌদি আরবের নতুন যুবরাজ মোহাম্মদ বিন সালমান দেশটিতে আধুনিকায়ন, নারীদের অধিকার এবং ইরানের বিরুদ্ধে দল পাকানোর জন্য কাজ করছেন। তিনি দুর্নীতিবিরোধী অভিযান চালাচ্ছেন, যা অনেকে বলছেন তার ক্ষমতা আরো কুক্ষিগত করার জন্য। সৌদি আরবে এতো পরিবর্তনের কারণ ও ধরন বুঝতে হলে এর সামান্য পেছনের কিছু ইতিহাসের দিকে ঘুরে তাকাতে হবে।",11.43,2.94,11.43
news-43735107,বাংলাদেশের প্রধানমন্ত্রী শেখ হাসিনা সরকারি চাকুরীতে সব ধরনের কোটা বাতিলের ঘোষণা দেয়ার পর আজ আন্দোলনকারীদের তরফ থেকে কোটা সংস্কার আন্দোলন সরকার গেজেট প্রকাশ না হওয়া পর্যন্ত স্থগিত ঘোষণা করা হয়েছে।,"ঢাকা বিশ্ববিদ্যালয়ের সমবেত আন্দোলনকারীরা প্রধানমন্ত্রীর কোটা বাতিলের ঘোষণায় ধন্যবাদ জানিয়েছে। তারা সরকারের সিদ্ধান্ত দ্রুত গেজেট আকারে প্রকাশের দাবি জানিয়েছে। এছাড়াও তারা শিক্ষার্থীদের বিরুদ্ধে দায়ের করা মামলা প্রত্যাহার, আটক শিক্ষার্থীদের মুক্তি ও আহতদের চিকিৎসার ব্যয়ভার বহনের দাবি জানিয়েছে।",11.94,3.08,11.94
news-46576924,"বিজ্ঞানীরা বলছেন, চারটি উপায় মেনে চললে আপনার মন স্বয়ংক্রিয়ভাবেই স্বাস্থ্যকর খাবার গ্রহণে উৎসাহী হবে।","ইয়েল ইউনিভার্সিটির গবেষকরা দেখেছেন যে অস্বাস্থ্যকর খাবার এড়াতে মনকে প্রশিক্ষণ দেওয়া যায়। তারা চারটি কৌশল সুপারিশ করেছেন: অস্বাস্থ্যকর খাবার নিয়ে নেতিবাচক ভাবনা করা, স্বাস্থ্যকর খাবার সম্পর্কে ইতিবাচক ভাবনা করা, অস্বাস্থ্যকর খাবার এড়াতে মনকে প্রশিক্ষণ দেওয়া এবং স্বাস্থ্যকর খাবার গ্রহণের অভ্যাস গড়ে তোলা। এই কৌশলগুলি অনুসরণ করে, মানুষ তাদের খাদ্যাভ্যাস পরিবর্তন করতে পারে এবং অতিরিক্ত ওজন কমাতে পারে। গবেষকরা বিশ্বাস করেন যে এই কৌশলগুলি মানুষের খাদ্য গ্রহণের আচরণ পরিবর্তন করতে সাহায্য করতে পারে।",6.98,2.38,6.98
news-46782925,বাংলাদেশে আওয়ামী লীগের নেতৃত্বে নতুন মন্ত্রিসভা শপথ নিয়েছে কিন্তু এই মন্ত্রিসভায় স্থান পায় নি মহাজোটের শরিক দলের কোনো নেতা।,রাষ্ট্রপতি আব্দুল হামিদ এক ঝাঁক নতুন নেতৃত্বের শপথ গ্রহণ করাচ্ছেন। এর আগে তিনবার শরিক দলের নেতারা মন্ত্রী হলেও এবারই প্রথম কোন শরিক দল থেকে মন্ত্রী করা হয় নি। নতুন মন্ত্রীসভায় শরিক দলের কোনো নেতা মন্ত্রী হতে না পারাটাকে কিভাবে দেখছেন দলগুলোর নেতারা তা নিয়ে প্রশ্ন তুলেছে।,21.54,9.52,21.54
news-51087026,"বাংলাদেশে এ বছর হাড় কাঁপানো শীতের পাশাপাশি ঘন কুয়াশাও বেশ দাপট দেখিয়েছে। আবহাওয়া অধিদপ্তর বলছে, এ বছর কুয়াশার কারণে দৃষ্টিসীমা ১০০ মিটারেও নেমে এসেছে।","বাংলাদেশের আবহাওয়া অধিদপ্তরের কর্মকর্তা মনোয়ার হোসেন জানিয়েছেন, ঘন কুয়াশার কারণে রাজধানী ঢাকাতেও দৃষ্টিসীমা কমে গেছে। তিনি বলেছেন, কুয়াশার কারণে দৃষ্টিসীমা তিন হাজার মিটার বা তার কম হলে তাকে ""পুওর ভিজিবিলিটি"" বলা হয়। সোমবার সকালে বাংলাদেশে দৃষ্টিসীমা ১০০ মিটারে নেমে এসেছিল, যা বিমান চলাচলের জন্য ব্যাহতি সৃষ্টি করে।",22.54,8.7,16.9
news-53134120,করোনাভাইরাস মহামারির কারণে এখন কারো জ্বর এবং সাথে শুকনো কাশি অথবা শরীর ব্যথার মত দুয়েকটি উপসর্গ ও লক্ষণ দেখা দিলেই স্বাভাবিকভাবেই মানুষ আতঙ্কিত হয়ে পড়ছেন।,"করোনাভাইরাস সংক্রমণের লক্ষণ দেখা দিলে নিজেকে পরিবারের অন্যদের থেকে আলাদা করে রাখা উচিত। করোনাভাইরাস সংক্রমণের প্রথম লক্ষণ হলো জ্বর এবং শুকনো কাশি। এছাড়া থাকতে পারে শরীরের পেশীতে ব্যথা, গলা ব্যথা, স্বাদ ও গন্ধের অনুভূতি না থাকা, শ্বাসকষ্ট, কখনো পেট খারাপ ও বমি বা বমি বমি ভাব।",22.54,8.7,16.9
news-55991270,"অভ্যুত্থানের মাধ্যমে ক্ষমতা দখলের পর টেলিভিশনের দেয়া প্রথম ভাষণে মিয়ানমারের সেনাপ্রধান সিনিয়র জেনারেল মিন অং লাইং বলেছেন, তার সরকার মিয়ানমারের চলমান বিদেশনীতিতে কোন পরিবর্তন আনবে না।","মিয়ানমারের সেনাপ্রধান মিন অং লাইং বলেছেন, বাংলাদেশের সাথে চুক্তি অনুযায়ী রোহিঙ্গাদের ফেরত নেয়ার প্রক্রিয়া চলতে থাকবে। তিনি বলেছেন, বাংলাদেশের সাথে চুক্তি আলোচনার মাধ্যমে বাস্তবায়ন করা হবে। মিয়ানমার সেনাবাহিনী প্রধান বলেছেন, তারা বাংলাদেশের সাথে যে চুক্তি করেছে তা অনুযায়ী রোহিঙ্গাদের ফেরত নেয়ার কাজ চলবে।",20.29,11.94,17.39
news-44720145,বিমানে ডালাস যাওয়ার পথে রোজে ব্লেয়ার এবং তার বয়ফ্রেন্ড আসন রদবদল করার জন্য এক তরুণীকে অনুরোধ করেছিলেন।,"রোজে ব্লেয়ার নামের একজন নারীর প্রেমের গল্প সামাজিক নেটওয়ার্কে হাজার হাজার মানুষের হৃদয় স্পর্শ করে। রোজে ঐ তরুণীকে বলেছিলেন, তিনি যদি আসনটি বদল করেন, তবে তারা দু'জন একসাথে বসতে পারেন। রোজে তার ইনস্টাগ্রামে যে গল্পটা লেখেন, তাতে আসলে কী প্রকাশ পায়? তারপর রোজে যখন টুইটারে এক সুতায় গাঁথার কথা টুইট করেন, তখন কী উন্মোচিত হয়? রোজে সহজভাবে গর্বিত প্রেমের গল্প লিখেছিলেন। তিনি তার অনুভূতি এমনভাবে লিখেছিলেন, যা সামাজিক নেটওয়ার্কে হাজার হাজার মানুষের হৃদয় স্পর্শ করেছিল। তার সেই গল্প রিটুইট হয়েছিল ২ লাখ ৩৮হাজার বার। লাইক পেয়েছে ৬লাখ।",9.52,1.94,7.62
news-53316580,বান্দরবানের বাঘমারায় দুই গ্রুপের গোলাগুলিতে ছয়জন নিহত হয়েছেন।,"বান্দরবানের বাঘমারা এলাকায় গোলাগুলির ঘটনায় তিনজন আহত হয়েছেন। দুইজনকে চট্টগ্রাম মেডিকেল কলেজ হাসপাতালে পাঠানো হয়েছে। পুলিশ জানিয়েছে, পার্বত্য চট্টগ্রামভিত্তিক দুইটি স্থানীয় দলের মধ্যে এ সংঘর্ষ ঘটেছে। পুলিশ সুপার জেরিন আখতার বলেছেন, সকাল সাতটার কিছু আগে এই ঘটনা ঘটেছে। ঘটনাস্থলে এখন সেনাবাহিনী এবং পুলিশ কর্মকর্তারা রয়েছেন।",7.55,0.0,7.55
news-46819571,যুক্তরাজ্য-ভিত্তিক গবেষণা প্রতিষ্ঠান ইকোনমিস্ট ইন্টেলিজেন্স ইউনিট (ইআইইউ) এ বছরের ৯ই জানুয়ারি যে প্রতিবেদন প্রকাশ করেছে সেখানে 'গণতান্ত্রিক' কিংবা 'ত্রুটিপূর্ণ গণতান্ত্রিক' দেশের তালিকায় বাংলাদেশের নাম নেই।,"ইকোনমিস্ট ইন্টেলিজেন্স ইউনিটের গণতন্ত্র সূচক অনুযায়ী বাংলাদেশের স্কোর ৫.৮৭। গত বছর এটি ছিল ৫.৭৩। এই স্কোরের ভিত্তিতে বাংলাদেশের অবস্থান ৯২তম। গত বছর দেশটির অবস্থান ছিল ৮৮তম। ইকোনমিস্ট ইন্টেলিজেন্স ইউনিটের গণতন্ত্র সূচকে বাংলাদেশের স্কোর কমেছে। এই স্কোর কমেছে নির্বাচনী ব্যবস্থা ও বহুদলীয় অবস্থান, নাগরিক অধিকার, সরকারে সক্রিয়তা, রাজনৈতিক অংশগ্রহণ, এবং রাজনৈতিক সংস্কৃতির ক্ষেত্রে। এছাড়া বাংলাদেশের স্কোর কমেছে নির্বাচনী ব্যবস্থা ও বহুদলীয় অবস্থান, নাগরিক অধিকার, সরকারে সক্রিয়তা, রাজনৈতিক অংশগ্রহণ, এবং রাজনৈতিক সংস্কৃতির ক্ষেত্রে।",6.06,2.06,6.06
news-51930935,করোনাভাইরাস মহামারি ঠেকানোর চেষ্টায় ভারত কার্যত গোটা দেশকে অবরুদ্ধ করে ফেলার চেষ্টা চালাচ্ছে।,"ভারতে করোনাভাইরাস সংক্রমণ ঠেকাতে সরকার আরও কড়া ব্যবস্থা নিয়েছে। ইউরোপীয় ইউনিয়ন, ব্রিটেন বা তুরস্ক থেকে কোনও ভারতীয় নাগরিককে নিয়েও কোনও বিমান ভারতে আসতে পারবে না বলে নতুন নির্দেশিকা জারি করা হয়েছে। ভারতে আজ করোনাভাইরাস সংক্রমণে তৃতীয় মৃত্যুর ঘটনা ঘটেছে, মোট আক্রান্তের সংখ্যাও সোয়াশো ছাড়িয়ে গেছে। তাজমহল-সহ বিভিন্ন পর্যটক আকর্ষণ, বহু টাইগার সাফারিও সাময়িকভাবে বন্ধ করে দেওয়া হয়েছে।",5.63,0.0,5.63
news-54246395,"ব্রাজিলে করোনাভাইরাস মহামারি নিয়ে পরিচালিত এক গবেষণায় বলা হয়েছে যে, এই ভাইরাসের সংক্রমণ এবং ডেঙ্গু জ্বরে আক্রান্ত হওয়ার মধ্যে সম্পর্ক রয়েছে। আর তা হলো ডেঙ্গুতে আক্রান্ত হলে তা কোভিড-১৯ রোগ থেকে কিছুটা ইমিউনিটি বা সুরক্ষা দিতে পারে।","ডেঙ্গু জ্বরের ভাইরাস করোনাভাইরাস সংক্রমণ রোধে কাজ করতে পারে বলে মনে করেন একদল গবেষক। যুক্তরাষ্ট্রের ডিউক ইউনিভার্সিটির অধ্যাপক মিগুয়েল নিকোলেলিসের নেতৃত্বে পরিচালিত এক গবেষণায় এমন ফলাফল পাওয়া গেছে বলে দাবি করেছেন। তবে ওই গবেষণাটি এখনো আনুষ্ঠানিকভাবে প্রকাশিত হয়নি। বাংলাদেশের জাতীয় রোগতত্ত্ব, রোগ নিয়ন্ত্রণ ও গবেষণা প্রতিষ্ঠান আইইডিসিআর-এর প্রধান বৈজ্ঞানিক কর্মকর্তা এ. এস. এম. আলমগীর বলেছেন, এই গবেষণার উপর এখন নির্ভরযোগ্য নয়।",18.0,4.08,10.0
news-50211501,ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদী দুদিনের এক রাষ্ট্রীয় সফরে সোমবার বেশি রাতে সৌদি আরবে গিয়ে পৌঁছচ্ছেন।,"ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদী সৌদি আরব সফরে গেছেন। এই সফরে দুই দেশের মধ্যে বারোটি চুক্তি স্বাক্ষরিত হবে বলে ধারণা করা হচ্ছে। এর মধ্যে সবচেয়ে গুরুত্বপূর্ণ হচ্ছে একটি স্ট্র্যাটেজিক পার্টনারশিপ কাউন্সিল গঠন। এই সফরের মধ্য দিয়ে ভারত ও সৌদি আরবের মধ্যে সম্পর্ক আরও গভীর হবে বলে মনে করা হচ্ছে। ভারতের সঙ্গে সৌদি আরবের সম্পর্ক এখন শুধু তেল আমদানির মধ্যেই সীমাবদ্ধ নেই, বরং এখন সেখানে নিরাপত্তা, প্রতিরক্ষা, বিনিয়োগ, কৃষি - সব ক্ষেত্রেই সহযোগিতা রয়েছে। ভারতের সঙ্গে সৌদি আরবের এই ঘনিষ্ঠতা পাকিস্তানের জন্য চিন্তার কারণ হয়ে দাঁড়িয়েছে।",12.24,6.25,12.24
news-55793703,বাংলাদেশে রবিবার ৭ই ফেব্রুয়ারি থেকে আনুষ্ঠানিকভাবে সারা দেশে করোনা ভাইরাসের টিকাদান কর্মসূচি শুরু হয়েছে। শুরুতেই সম্মুখ সারির কর্মী এবং ৪০ বছরের বেশি নাগরিকদের টিকা দেয়া হবে।,"বাংলাদেশে করোনাভাইরাস টিকা গ্রহণের বয়স সীমা কমিয়ে ৪০ বছর করা হয়েছে। এখন থেকে ৪০ বছরের বেশি বয়সীরা সরকারি হাসপাতালে গিয়ে টিকা নিতে পারবেন। তবে টিকা নিতে হলে নাম নিবন্ধন করতে হবে সরকারি ওয়েবসাইটের মাধ্যমে। এই নিবন্ধনের জন্য জাতীয় পরিচয় পত্র এবং নাম, ঠিকানা, বয়স, পেশা, শারীরিক পরিস্থিতি, ফোন নাম্বার ইত্যাদি তথ্য প্রয়োজন হবে।",22.78,5.19,17.72
